seed,vibe,alpha,title,year,genres,score
The Dark Knight,Gritty action-thriller,1.0,The Lord of the Rings: The Return of the King,2003,"Adventure,Drama,Fantasy",1.0
The Dark Knight,Gritty action-thriller,1.0,The Lord of the Rings: The Two Towers,2002,"Adventure,Drama,Fantasy",1.0
The Dark Knight,Gritty action-thriller,1.0,The War Room,1993,"Documentary,History",0.9899
The Dark Knight,Gritty action-thriller,1.0,2001: A Space Odyssey,1968,"Adventure,Sci-Fi",0.8492
The Dark Knight,Gritty action-thriller,1.0,Ocean's Eleven,2001,"Crime,Thriller",0.8448
The Dark Knight,Gritty action-thriller,0.5,The War Room,1993,"Documentary,History",0.6925
The Dark Knight,Gritty action-thriller,0.5,The Lord of the Rings: The Two Towers,2002,"Adventure,Drama,Fantasy",0.5937
The Dark Knight,Gritty action-thriller,0.5,The Lord of the Rings: The Return of the King,2003,"Adventure,Drama,Fantasy",0.592
The Dark Knight,Gritty action-thriller,0.5,The Damned United,2009,"Biography,Drama,Sport",0.5472
The Dark Knight,Gritty action-thriller,0.5,2001: A Space Odyssey,1968,"Adventure,Sci-Fi",0.5198
The Dark Knight,Gritty action-thriller,0.0,Tunes of Glory,1960,Drama,0.466
The Dark Knight,Gritty action-thriller,0.0,Crude,2009,Documentary,0.4244
The Dark Knight,Gritty action-thriller,0.0,The Icicle Thief,1989,"Comedy,Crime,Fantasy",0.4228
The Dark Knight,Gritty action-thriller,0.0,Street Thief,2006,"Crime,Thriller",0.4182
The Dark Knight,Gritty action-thriller,0.0,A Hungarian Fairy Tale,1987,Fantasy,0.4126
Mean Girls,Teen comedy,1.0,The Producers,1967,"Comedy,Music",0.8414
Mean Girls,Teen comedy,1.0,School for Scoundrels,1960,Comedy,0.8334
Mean Girls,Teen comedy,1.0,"Yours, Mine and Ours",1968,"Comedy,Family",0.8296
Mean Girls,Teen comedy,1.0,The Boss of It All,2006,Comedy,0.8269
Mean Girls,Teen comedy,1.0,Monty Python's the Meaning of Life,1983,"Comedy,Musical",0.8184
