model,metric,mean,std
Popularity,precision,0.0593,0.10041709811378537
Popularity,recall,0.06303960616968064,0.12181401192568656
Popularity,ndcg,0.07970984438916864,0.13798449776139632
Popularity,hit_rate,0.363,0.481105458774334
Popularity,mrr,0.17529866493822033,0.2892397522054818
Genre-Match,precision,0.0145,0.042913769254070325
Genre-Match,recall,0.014657792549918494,0.06169475918244127
Genre-Match,ndcg,0.021815667675713146,0.06961740583459712
Genre-Match,hit_rate,0.122,0.32744957355785825
Genre-Match,mrr,0.06737303096851303,0.20742911224280688
SVD(k=64),precision,0.09820000000000002,0.1291256497890076
SVD(k=64),recall,0.11490958661864618,0.1878614030905109
SVD(k=64),ndcg,0.13470914736442546,0.17937075146380568
SVD(k=64),hit_rate,0.512,0.500106094849989
SVD(k=64),mrr,0.26848499276704757,0.34018228623714325
VibeRec,precision,0.039299999999999995,0.07868736684946132
VibeRec,recall,0.037485653399390674,0.0957462079115778
VibeRec,ndcg,0.04776096355566287,0.10230207710899644
VibeRec,hit_rate,0.271,0.44469850096077085
VibeRec,mrr,0.11333873067462864,0.21479495863220843
